period,group,deaths,fitted_long,counterfactual_long,post,fitted_main,counterfactual_main,group_label
2018-03-01,motorway_dual,42.0,40.94240548032049,40.94240548032049,False,42.90048681849621,42.90048681849621,Motorways and dual carriageways
2018-04-01,motorway_dual,38.0,39.51477490317297,39.51477490317297,False,38.46250542347938,38.46250542347938,Motorways and dual carriageways
2018-05-01,motorway_dual,40.0,41.4012867372591,41.4012867372591,False,39.51916766038803,39.51916766038803,Motorways and dual carriageways
2018-06-01,motorway_dual,51.0,46.80588820788566,46.80588820788566,False,46.493138423985805,46.493138423985805,Motorways and dual carriageways
2018-07-01,motorway_dual,61.0,55.60415911358664,55.60415911358664,False,56.637095898309994,56.637095898309994,Motorways and dual carriageways
2018-08-01,motorway_dual,56.0,52.238644219868625,52.238644219868625,False,52.833111845438346,52.833111845438346,Motorways and dual carriageways
2018-09-01,motorway_dual,53.0,47.65373987190554,47.65373987190554,False,46.17613975291295,46.17613975291295,Motorways and dual carriageways
2018-10-01,motorway_dual,49.0,48.48292470079146,48.48292470079146,False,50.191456253166066,50.191456253166066,Motorways and dual carriageways
2018-11-01,motorway_dual,36.0,40.38617872460223,40.38617872460223,False,42.055157028968694,42.055157028968694,Motorways and dual carriageways
2018-12-01,motorway_dual,49.0,44.9223074943937,44.9223074943937,False,44.274147726477,44.274147726477,Motorways and dual carriageways
2019-01-01,motorway_dual,35.0,37.063302744983346,37.063302744983346,False,37.50973758526485,37.50973758526485,Motorways and dual carriageways
2019-02-01,motorway_dual,34.0,29.988039614286606,29.988039614286606,True,40.216948691475594,40.216948691475594,Motorways and dual carriageways
2019-03-01,motorway_dual,54.0,33.309922379088675,33.309922379088675,True,44.380874789771845,44.380874789771845,Motorways and dual carriageways
2019-04-01,motorway_dual,45.0,32.14843068965544,32.14843068965544,True,39.789749811519606,39.789749811519606,Motorways and dual carriageways
2019-05-01,motorway_dual,44.0,33.683258993548,33.683258993548,True,40.88287480634144,40.88287480634144,Motorways and dual carriageways
2019-06-01,motorway_dual,46.0,38.080334674971034,38.080334674971034,True,48.09749977216629,48.09749977216629,Motorways and dual carriageways
2019-07-01,motorway_dual,66.0,45.23843194602567,45.23843194602567,True,58.59149972245716,58.59149972245716,Motorways and dual carriageways
2019-08-01,motorway_dual,50.0,42.50031632823913,42.50031632823913,True,54.65624974109798,54.65624974109798,Motorways and dual carriageways
2019-09-01,motorway_dual,47.0,38.7701298344435,38.7701298344435,True,47.76956227371947,47.76956227371947,Motorways and dual carriageways
2019-10-01,motorway_dual,57.0,39.4447380301291,39.4447380301291,True,51.92343725404273,51.92343725404273,Motorways and dual carriageways
2019-11-01,motorway_dual,38.0,32.85738741342689,32.85738741342689,True,43.50637479391375,43.50637479391375,Motorways and dual carriageways
2019-12-01,motorway_dual,51.0,36.54789107218068,36.54789107218068,True,45.801937283039784,45.801937283039784,Motorways and dual carriageways
2020-01-01,motorway_dual,34.0,30.15396196350687,30.15396196350687,True,38.804104349955985,38.804104349955985,Motorways and dual carriageways
2020-02-01,motorway_dual,29.0,30.035373272669148,30.035373272669148,True,40.57888671045412,40.57888671045412,Motorways and dual carriageways
2020-03-01,motorway_dual,31.0,20.876058041093856,20.876058041093856,True,,,Motorways and dual carriageways
2020-04-01,motorway_dual,15.0,20.14812575572539,20.14812575572539,True,,,Motorways and dual carriageways
2020-05-01,motorway_dual,23.0,21.11003627567573,21.11003627567573,True,,,Motorways and dual carriageways
2020-06-01,motorway_dual,17.0,23.86577992742605,23.86577992742605,True,,,Motorways and dual carriageways
2020-07-01,motorway_dual,39.0,37.27491608148063,37.27491608148063,True,,,Motorways and dual carriageways
2020-08-01,motorway_dual,39.0,35.01880273970617,35.01880273970617,True,,,Motorways and dual carriageways
2020-09-01,motorway_dual,34.0,31.94525702772399,31.94525702772399,True,,,Motorways and dual carriageways
2020-10-01,motorway_dual,27.0,32.50111103946475,32.50111103946475,True,,,Motorways and dual carriageways
2020-11-01,motorway_dual,25.0,27.073360101284056,27.073360101284056,True,,,Motorways and dual carriageways
2020-12-01,motorway_dual,30.0,30.114208518456707,30.114208518456707,True,,,Motorways and dual carriageways
2021-01-01,motorway_dual,21.0,24.84583026783321,24.84583026783321,True,,,Motorways and dual carriageways
2021-02-01,motorway_dual,16.0,24.748117254604487,24.748117254604487,True,,,Motorways and dual carriageways
2021-03-01,motorway_dual,31.0,27.489555015351122,27.489555015351122,True,,,Motorways and dual carriageways
2021-04-01,motorway_dual,26.0,26.531015114441825,26.531015114441825,True,,,Motorways and dual carriageways
2021-05-01,motorway_dual,29.0,27.79765712635656,27.79765712635656,True,,,Motorways and dual carriageways
2021-06-01,motorway_dual,35.0,31.426415322653746,31.426415322653746,True,,,Motorways and dual carriageways
2021-07-01,motorway_dual,36.0,37.333751476082355,37.333751476082355,True,,,Motorways and dual carriageways
2021-08-01,motorway_dual,35.0,35.07407704463463,35.07407704463463,True,,,Motorways and dual carriageways
2021-09-01,motorway_dual,37.0,31.99567999309757,31.99567999309757,True,,,Motorways and dual carriageways
2021-10-01,motorway_dual,34.0,32.55241137475783,32.55241137475783,True,,,Motorways and dual carriageways
2021-11-01,motorway_dual,25.0,27.116093177363197,27.116093177363197,True,,,Motorways and dual carriageways
2021-12-01,motorway_dual,32.0,30.161741324095463,30.161741324095463,True,,,Motorways and dual carriageways
2022-01-01,motorway_dual,46.0,30.24922819555545,30.24922819555545,True,,,Motorways and dual carriageways
2022-02-01,motorway_dual,31.0,30.13026484424184,30.13026484424184,True,,,Motorways and dual carriageways
2022-03-01,motorway_dual,26.0,33.467902408163305,33.467902408163305,True,,,Motorways and dual carriageways
2022-04-01,motorway_dual,25.0,32.30090207512599,32.30090207512599,True,,,Motorways and dual carriageways
2022-05-01,motorway_dual,31.0,33.843009658066805,33.843009658066805,True,,,Motorways and dual carriageways
2022-06-01,motorway_dual,34.0,38.26093949027679,38.26093949027679,True,,,Motorways and dual carriageways
2022-07-01,motorway_dual,44.0,45.45298569709087,45.45298569709087,True,,,Motorways and dual carriageways
2022-08-01,motorway_dual,25.0,42.70188393121356,42.70188393121356,True,,,Motorways and dual carriageways
2022-09-01,motorway_dual,34.0,38.95400616320727,38.95400616320727,True,,,Motorways and dual carriageways
2022-10-01,motorway_dual,27.0,39.631813844654374,39.631813844654374,True,,,Motorways and dual carriageways
2022-11-01,motorway_dual,35.0,33.01322119051634,33.01322119051634,True,,,Motorways and dual carriageways
2022-12-01,motorway_dual,28.0,36.72122791843599,36.72122791843599,True,,,Motorways and dual carriageways
2023-01-01,motorway_dual,21.0,30.296974118668807,30.296974118668807,True,,,Motorways and dual carriageways
2023-02-01,motorway_dual,27.0,30.177822993472553,30.177822993472553,True,,,Motorways and dual carriageways
2023-03-01,motorway_dual,24.0,33.5207287442541,33.5207287442541,True,,,Motorways and dual carriageways
2023-04-01,motorway_dual,35.0,32.351886397006886,32.351886397006886,True,,,Motorways and dual carriageways
2023-05-01,motorway_dual,25.0,33.896428070153625,33.896428070153625,True,,,Motorways and dual carriageways
2023-06-01,motorway_dual,28.0,38.321331241872485,38.321331241872485,True,,,Motorways and dual carriageways
2023-07-01,motorway_dual,47.0,45.52472950312571,45.52472950312571,True,,,Motorways and dual carriageways
2023-08-01,motorway_dual,43.0,42.7692853489884,42.7692853489884,True,,,Motorways and dual carriageways
2023-09-01,motorway_dual,39.0,39.01549186364239,39.01549186364239,True,,,Motorways and dual carriageways
2023-10-01,motorway_dual,29.0,39.6943694088637,39.6943694088637,True,,,Motorways and dual carriageways
2023-11-01,motorway_dual,33.0,33.065329849636385,33.065329849636385,True,,,Motorways and dual carriageways
2023-12-01,motorway_dual,26.0,36.779189361732556,36.779189361732556,True,,,Motorways and dual carriageways
2024-01-01,motorway_dual,24.0,30.344795404801648,30.344795404801648,True,,,Motorways and dual carriageways
2024-02-01,motorway_dual,29.0,30.225456209337096,30.225456209337096,True,,,Motorways and dual carriageways
2024-03-01,motorway_dual,38.0,33.57363846237914,33.57363846237914,True,,,Motorways and dual carriageways
2024-04-01,motorway_dual,33.0,32.40295119345384,32.40295119345384,True,,,Motorways and dual carriageways
2024-05-01,motorway_dual,31.0,33.949930798818045,33.949930798818045,True,,,Motorways and dual carriageways
2024-06-01,motorway_dual,45.0,38.38181831688964,38.38181831688964,True,,,Motorways and dual carriageways
2024-07-01,motorway_dual,43.0,45.596586550867904,45.596586550867904,True,,,Motorways and dual carriageways
2024-08-01,motorway_dual,40.0,42.83679315436724,42.83679315436724,True,,,Motorways and dual carriageways
2024-09-01,motorway_dual,31.0,39.077074614207405,39.077074614207405,True,,,Motorways and dual carriageways
2024-10-01,motorway_dual,33.0,39.75702371189505,39.75702371189505,True,,,Motorways and dual carriageways
2024-11-01,motorway_dual,33.0,33.117520757996495,33.117520757996495,True,,,Motorways and dual carriageways
2024-12-01,motorway_dual,31.0,36.83724229240848,36.83724229240848,True,,,Motorways and dual carriageways
