band,residents,year,licence_holders,driver_deaths,driver_hospitalised,drivers_involved,licence_share,travel_share,travel_share_low,travel_share_high,esra_national_share,travel_capped,travel_weighted_drivers,travel_weighted_drivers_low,travel_weighted_drivers_high,deaths_per_million_residents,deaths_per_million_residents_low,deaths_per_million_residents_high,deaths_per_100k_licence,deaths_per_100k_licence_low,deaths_per_100k_licence_high,deaths_per_100k_travel,deaths_per_100k_travel_low,deaths_per_100k_travel_high,involved_per_10k_licence,involved_per_10k_licence_low,involved_per_10k_licence_high,deaths_per_1k_involved,deaths_per_1k_involved_low,deaths_per_1k_involved_high,sex
15-24,4760327,2020,1648585,84.0,615.0,16331.0,0.34631759540888685,0.34631759540888685,0.34631759540888685,0.34631759540888685,0.7848,True,1648585.0,1648585.0,1648585.0,17.645846598353433,14.075018321175415,21.84675879826905,5.095278678381764,4.064193823174783,6.308301711460902,5.095278678381764,4.064193823174783,6.308301711460901,99.06070963887213,97.54716442794287,100.59185761815792,5.1435919417059575,4.102730374121976,6.36811681892644,total
25-34,5346390,2020,3945013,150.0,855.0,25795.0,0.7378835064407946,0.7378835064407946,0.7378835064407946,0.7378835064407946,0.7848,True,3945013.0,3945013.0,3945013.0,28.05631463473484,23.74614670857249,32.92261995422603,3.8022688391647885,3.2181430403713467,4.461763905393328,3.8022688391647885,3.2181430403713467,4.461763905393329,65.38634980417048,64.59081857571934,66.18923310536441,5.8150804419461135,4.921735270449501,6.823693200119189,total
35-44,7267850,2020,5865559,175.0,943.0,27661.0,0.8070555941578321,0.8070555941578321,0.8070555941578321,0.8070555941578321,0.7848,True,5865559.0,5865559.0,5865559.0,24.078647743142746,20.643224719060274,27.92238123442591,2.9835178539675415,2.557844201625492,3.4597841135793255,2.9835178539675415,2.557844201625492,3.4597841135793255,47.15833563348353,46.60421092725146,47.717404784418406,6.326597013846209,5.423949270612855,7.336527184650675,total
45-54,7602254,2020,6305581,187.0,1057.0,25021.0,0.8294357173543531,0.8294357173543531,0.8036801597027553,0.8294357173543531,0.7848,True,6305581.0,6109780.70882091,6305581.0,24.59796791846208,21.19861363287514,28.387361697862296,2.9656267994971435,2.555787409359733,3.4224908698662406,2.9656267994971435,2.5557874093597333,3.5321715181274955,39.68072093594548,39.19055292691985,40.17548883155689,7.473722073458295,6.4408794726421625,8.62507229994886,total
55-64,6350400,2020,4943660,139.0,665.0,14662.0,0.7784800957420005,0.6328059124875819,0.6108741133094235,0.6526814473822418,0.7848,False,4018570.66666114,3879294.9691601633,4144788.263456188,21.88838498362308,18.400981308196304,25.844475829074966,2.8116820331495287,2.3637060740336064,3.3198634069688784,3.458941288582321,2.8192897748202426,4.230736786186923,29.658188467653524,29.18004658031796,30.142201288112258,9.480289182921839,7.969826196942423,11.193749782086869,total
65-74,4656474,2020,2928727,91.0,268.0,6008.0,0.6289580914657743,0.20038342063828443,0.1934385282892302,0.20667717926255405,0.7848,False,933080.1882332349,900741.4775770649,962386.9116294221,19.54268401369792,15.73455011170063,23.994085420974688,3.107152015192949,2.5016849811140154,3.814894147407651,9.752645179650242,7.6131047306931325,12.403984683495223,20.51403220580136,19.998552354843785,21.03943761812781,15.146471371504662,12.194993924239528,18.596510472128447,total
75+,4587056,2020,1562121,89.0,148.0,3146.0,0.3405497992612255,0.20038342063828443,0.1934385282892302,0.20667717926255405,0.7848,False,919169.9719393664,887313.3618202831,948039.7951993741,19.40242281759804,15.581738732282917,23.876350843276477,5.697381956967482,4.575465546033294,7.011118754165421,9.68264877193692,7.539167501646871,12.343120604999873,20.139284984965954,19.441626841487828,20.85558274427539,28.289891926255564,22.719106211808885,34.81314634257992,total
15-24,4815737,2021,1721759,127.0,735.0,21300.0,0.3575276224594491,0.3575276224594491,0.3575276224594491,0.3575276224594491,0.7762,True,1721759.0,1721759.0,1721759.0,26.371872051982905,21.985041510972103,31.37752436462023,7.376177502193977,6.1491868403722165,8.776251789658316,7.376177502193977,6.1491868403722165,8.776251789658316,123.71069354073364,122.05483462958358,125.38340158211038,5.96244131455399,4.970618678447148,7.094173946061179,total
25-34,5272462,2021,3907126,154.0,978.0,31720.0,0.7410439373484342,0.7410439373484342,0.7410439373484342,0.7410439373484342,0.7762,True,3907126.0,3907126.0,3907126.0,29.208366034691192,24.7774256710447,34.20304840212681,3.9415160913674145,3.3435838851474893,4.615522329824386,3.9415160913674145,3.3435838851474897,4.615522329824386,81.18499377803532,80.29399713428938,82.0834122555032,4.854981084489282,4.118475261929625,5.685191456001713,total
35-44,7042918,2021,5689238,193.0,1051.0,32944.0,0.8077955756406648,0.8077955756406648,0.8077955756406648,0.8077955756406648,0.7762,True,5689238.0,5689238.0,5689238.0,27.4034143234381,23.673493681458144,31.554194906409144,3.392369944797528,2.9306292823753872,3.906210414854454,3.392369944797528,2.9306292823753872,3.9062104148544545,57.905821482595734,57.28219699432454,58.53454278862361,5.8584264205925205,5.061027038976076,6.745799152557591,total
