COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
10|M|50 a 54 años|11805|0|11805|1784|11671|67|32|0|0
10|M|55 a 59 años|11461|1|11461|1194|11338|51|28|0|1
10|M|60 a 64 años|9899|1|9899|1021|9715|22|11|0|1
10|M|65 a 69 años|6714|0|6714|765|6523|10|5|0|0
10|M|70 a 74 años|3415|0|3415|303|3297|4|2|0|0
10|M|Más de 74 años|2268|0|2268|285|2088|0|0|0|0
10|V|15 a 17 años|317|1|318|317|0|0|0|0|1
10|V|18 a 20 años|2692|0|2692|602|2561|2|0|0|0
10|V|21 a 24 años|5724|0|5724|766|5699|161|5|0|0
10|V|25 a 29 años|8383|0|8383|1390|8367|524|40|0|0
10|V|30 a 34 años|9030|0|9030|3382|8994|783|85|0|0
10|V|35 a 39 años|10587|0|10587|4681|10546|1351|212|0|0
10|V|40 a 44 años|12011|0|12011|5663|11950|1867|340|0|0
10|V|45 a 49 años|13355|1|13355|6253|13121|2230|545|0|1
10|V|50 a 54 años|13634|1|13634|6198|13296|2239|920|0|1
10|V|55 a 59 años|14600|4|14600|5777|14211|2107|998|0|4
10|V|60 a 64 años|14952|7|14952|6895|14397|1989|853|0|7
10|V|65 a 69 años|12647|17|12649|6129|12026|848|307|0|17
10|V|70 a 74 años|9494|18|9495|4581|8888|302|132|0|18
10|V|Más de 74 años|15586|23|15587|10399|11201|146|65|0|23
11|M|15 a 17 años|1192|0|1192|1192|0|0|0|0|0
11|M|18 a 20 años|6812|0|6812|2078|5678|0|0|0|0
11|M|21 a 24 años|16654|0|16654|2235|16272|26|1|0|0
11|M|25 a 29 años|23889|0|23889|2963|23766|90|12|0|0
11|M|30 a 34 años|28642|0|28642|7810|28432|136|41|0|0
11|M|35 a 39 años|33178|0|33178|11420|32877|137|58|0|0
11|M|40 a 44 años|38621|0|38621|16624|38046|207|91|0|0
11|M|45 a 49 años|43743|0|43743|19741|42204|262|86|0|0
11|M|50 a 54 años|39940|0|39940|17604|37679|191|61|0|0
11|M|55 a 59 años|34535|0|34535|11699|32507|144|37|0|0
11|M|60 a 64 años|26060|0|26060|7854|24169|78|19|0|0
11|M|65 a 69 años|18256|0|18256|4527|16945|26|4|0|0
11|M|70 a 74 años|9947|0|9947|1585|9279|10|1|0|0
11|M|Más de 74 años|6650|0|6650|1157|6004|4|0|0|0
11|V|15 a 17 años|2843|0|2843|2843|0|0|0|0|0
11|V|18 a 20 años|10506|0|10506|4931|8410|6|0|0|0
11|V|21 a 24 años|20772|0|20772|5970|19961|280|12|0|0
11|V|25 a 29 años|26647|0|26647|7508|26279|911|95|0|0
11|V|30 a 34 años|29797|0|29797|15454|29325|1433|182|0|0
11|V|35 a 39 años|34858|0|34858|22094|34374|2508|462|0|0
11|V|40 a 44 años|40951|0|40951|28748|40201|4017|818|0|0
11|V|45 a 49 años|48628|1|48628|34070|46725|5387|1316|0|1
11|V|50 a 54 años|47623|1|47624|33598|44931|5725|1973|0|1
11|V|55 a 59 años|44589|1|44589|30200|41335|4540|1891|0|1
11|V|60 a 64 años|38666|4|38666|27546|34826|3421|1440|0|4
11|V|65 a 69 años|32526|3|32526|23660|29103|1577|661|0|3
11|V|70 a 74 años|23704|6|23704|16622|20959|577|249|0|6
11|V|Más de 74 años|36268|14|36268|28662|23951|245|119|0|14
12|M|15 a 17 años|379|0|379|379|0|0|0|0|0
12|M|18 a 20 años|2688|0|2688|672|2294|0|0|0|0
12|M|21 a 24 años|7471|0|7471|694|7377|12|0|0|0
